time_tag,account_id,pre_balance,total_balance,available
2018-01-02,test0,0,1999813.7621942805,1782475.4097995253
2018-01-03,test0,0,2001499.091795494,1757932.2141213776
2018-01-04,test0,0,2003589.2254973357,1637468.7408783997
2018-01-05,test0,0,2003529.1137339785,1575003.3335191512
2018-01-08,test0,0,2007259.845046013,1540633.2577814995
2018-01-09,test0,0,2012191.904453572,1540530.1885417176
2018-01-10,test0,0,2012352.6018191408,1563104.1103014601
2018-01-11,test0,0,2011293.9708834477,1599683.9726417712
2018-01-12,test0,0,2012597.8884215362,1616299.3108165553
2018-01-15,test0,0,2009362.6213189093,1683835.8006685274
2018-01-16,test0,0,2012161.6662567626,1702580.9951467514
2018-01-17,test0,0,2006284.5546240867,1704590.3456268772
2018-01-18,test0,0,2006530.6201403125,1702197.153393606
2018-01-19,test0,0,2005200.4075669516,1788193.243653204
2018-01-22,test0,0,2008131.6253527962,1798738.7735965766
2018-01-23,test0,0,2010327.7040314479,1771434.4042913644
2018-01-24,test0,0,2011627.5746389057,1743847.253476098
2018-01-25,test0,0,2009517.4297267848,1685690.615109497
2018-01-26,test0,0,2010739.6863153952,1559306.318548917
2018-01-29,test0,0,1999805.5693386958,1598601.6174092917
2018-01-30,test0,0,1997365.7577170148,1712352.6912099142
2018-01-31,test0,0,1995462.1376469405,1808092.8272974782
2018-02-01,test0,0,1992122.6643950017,1877342.522473461
2018-02-02,test0,0,1994107.2285716776,1919080.556505877
2018-02-05,test0,0,1994054.7451837193,1912864.7545834426
2018-02-06,test0,0,1991363.7970216533,1894661.8188903325
2018-02-07,test0,0,1988755.8099800004,1916917.3100216005
2018-02-08,test0,0,1987340.615381716,1923199.3897023837
2018-02-09,test0,0,1984339.7232368267,1955498.5812418887
2018-02-12,test0,0,1984663.6147907185,1964707.1679892386
2018-02-13,test0,0,1984615.9371104585,1949316.7403540171
2018-02-14,test0,0,1984580.433550512,1884000.7168664248
2018-02-22,test0,0,1986790.6464995337,1773222.174591446
2018-02-23,test0,0,1987092.613921728,1679161.31501394
2018-02-26,test0,0,1991712.7732567843,1593080.816220653
2018-02-27,test0,0,1988423.937797356,1539788.4265498957
2018-02-28,test0,0,1986062.8420181964,1496799.352073474
2018-03-01,test0,0,1991953.9217773871,1499015.0523971422
2018-03-02,test0,0,1988267.8615182661,1559233.5931645904
2018-03-05,test0,0,1989553.8554224889,1626619.2549041137
2018-03-06,test0,0,1992948.6872933116,1695204.131742681
2018-03-07,test0,0,1989953.1429342607,1704675.5854253774
2018-03-08,test0,0,1992061.623092951,1726546.903933273
2018-03-09,test0,0,1996290.4448534776,1670273.1329133452
2018-03-12,test0,0,1999342.955188484,1613442.4820133129
2018-03-13,test0,0,1994987.439417188,1609205.393506966
2018-03-14,test0,0,1992733.524788461,1599021.415573277
2018-03-15,test0,0,1994050.8189459941,1552367.2223602799
2018-03-16,test0,0,1989393.817828246,1609965.5680251752
2018-03-19,test0,0,1992337.2470488676,1706623.0276838911
2018-03-20,test0,0,1992215.595430391,1736826.7673060647
2018-03-21,test0,0,1989241.7858842628,1763487.6973190971
2018-03-22,test0,0,1985873.427552735,1801271.8316612311
2018-03-23,test0,0,1981491.829683502,1804945.5671282515
2018-03-26,test0,0,1983011.2939106761,1874807.4000596767
2018-03-27,test0,0,1983968.0201731059,1882394.758444319
2018-03-28,test0,0,1982556.1763781754,1888376.7726133743
2018-03-29,test0,0,1981145.8793306176,1901480.3427278933
2018-03-30,test0,0,1983583.0956680807,1857550.8283839587
2018-04-02,test0,0,1984449.3737719634,1810309.418452129
2018-04-03,test0,0,1982917.458885637,1771599.5171981994
2018-04-04,test0,0,1980552.5796915786,1718222.309783436
2018-04-09,test0,0,1980282.382738387,1714344.6558478093
2018-04-10,test0,0,1981964.8247217124,1734084.1924630578
2018-04-11,test0,0,1982479.2708355673,1692920.5243306342
2018-04-12,test0,0,1979920.8059258682,1681981.7889500505
2018-04-13,test0,0,1977263.2753316483,1673923.243230652
2018-04-16,test0,0,1974520.0774719864,1673237.5802422587
2018-04-17,test0,0,1967062.9924331047,1814262.0540535923
2018-04-18,test0,0,1967360.250984859,1872357.8866980746
2018-04-19,test0,0,1968118.9271215878,1882030.8845496483
2018-04-20,test0,0,1967933.6868158847,1904264.507271555
2018-04-23,test0,0,1966860.3147919187,1907748.4353926703
2018-04-24,test0,0,1967804.523546393,1860427.675846501
2018-04-25,test0,0,1967790.6168906717,1729069.634837302
2018-04-26,test0,0,1963015.736174112,1719586.2416323703
2018-04-27,test0,0,1961298.6667143595,1664066.3110344927
2018-05-02,test0,0,1961864.304753116,1638218.2333191363
2018-05-03,test0,0,1964174.4119146054,1659920.784493828
2018-05-04,test0,0,1963441.096606521,1756458.8263750528
2018-05-07,test0,0,1967874.6659933305,1715953.0506502895
2018-05-08,test0,0,1968966.3888563171,1601290.2443613696
2018-05-09,test0,0,1968355.647291199,1581015.72907283
2018-05-10,test0,0,1971861.020670827,1555137.25042956
2018-05-11,test0,0,1968907.0343778962,1506686.5657209046
2018-05-14,test0,0,1974285.7240379339,1528865.6858575714
2018-05-15,test0,0,1977660.228929287,1551798.9727164523
2018-05-16,test0,0,1976455.1389011987,1578251.886670998
2018-05-17,test0,0,1972926.2096503058,1602221.1154905753
2018-05-18,test0,0,1976033.809082758,1622557.1626288602
2018-05-21,test0,0,1976271.927272389,1645562.9175268526
2018-05-22,test0,0,1978390.6799108067,1665596.2340794515
2018-05-23,test0,0,1974729.540144941,1681321.9355813055
2018-05-24,test0,0,1972950.783448854,1746298.6950644604
2018-05-25,test0,0,1972501.7986114826,1768658.1678686477
2018-05-28,test0,0,1973532.9941381665,1810385.984990946
2018-05-29,test0,0,1969505.3664203808,1810889.0268235183
2018-05-30,test0,0,1966719.080046229,1843702.816182098
2018-05-31,test0,0,1970650.1392731685,1767329.5676562272
2018-06-01,test0,0,1966388.8431777356,1803489.6921207989
2018-06-04,test0,0,1970696.2178543024,1779241.465713006
2018-06-05,test0,0,1972434.0555935798,1755462.928830292
2018-06-06,test0,0,1972838.073672034,1717604.6272373388
2018-06-07,test0,0,1971932.831689965,1695698.526737674
2018-06-08,test0,0,1969748.5111294815,1661424.8887279897
2018-06-11,test0,0,1968649.52979238,1584980.5447191931
2018-06-12,test0,0,1976666.7859826775,1618823.5202928938
2018-06-13,test0,0,1971891.0673083016,1669679.0804821986
2018-06-14,test0,0,1969665.9229566064,1697114.5471694134
2018-06-15,test0,0,1967617.033433131,1753396.38697096
2018-06-19,test0,0,1959184.6328271818,1838589.7589476383
2018-06-20,test0,0,1959966.547119438,1872441.108715787
2018-06-21,test0,0,1959259.5561756755,1898887.526182109
2018-06-22,test0,0,1958907.9526671814,1916581.4711904565
2018-06-25,test0,0,1958185.778469349,1921846.8668867378
2018-06-26,test0,0,1957473.9000673676,1910337.3131132706
2018-06-27,test0,0,1955811.2543465584,1901159.3578461597
2018-06-28,test0,0,1955456.4656116688,1886770.1523634274
2018-06-29,test0,0,1957780.32993224,1854342.109634261
2018-07-02,test0,0,1956692.0420886865,1821361.2363064731
2018-07-03,test0,0,1958044.6351428824,1824673.2416000355
2018-07-04,test0,0,1955124.1415459933,1809096.0664352323
2018-07-05,test0,0,1952056.9685089253,1817906.2479618692
2018-07-06,test0,0,1952627.409767209,1855190.1315132887
2018-07-09,test0,0,1955345.2403880497,1840585.0182005577
2018-07-10,test0,0,1956170.358207251,1824869.0289007362
2018-07-11,test0,0,1954415.3749951166,1733033.840952843
2018-07-12,test0,0,1959966.9453757862,1664904.13392753
2018-07-13,test0,0,1962916.2052317497,1560889.9539317098
2018-07-16,test0,0,1963086.7938168035,1578906.1438500218
2018-07-17,test0,0,1960051.877377268,1585073.0036301715
2018-07-18,test0,0,1957593.5270131356,1553322.7038676285
2018-07-19,test0,0,1955362.401531159,1608450.7512514866
2018-07-20,test0,0,1958443.4266816494,1649846.621615695
2018-07-23,test0,0,1956759.4219222008,1671502.4416949481
2018-07-24,test0,0,1959959.081553922,1745976.3100071813
2018-07-25,test0,0,1959637.6322815004,1725633.0578640401
2018-07-26,test0,0,1956388.8372730946,1704192.5778588688
2018-07-27,test0,0,1954983.3058134352,1693227.3994914114
2018-07-30,test0,0,1953626.6851155632,1686672.5567876121
2018-07-31,test0,0,1953586.2449720546,1725473.4621961236
2018-08-01,test0,0,1948956.9538105114,1823473.5069529403
2018-08-02,test0,0,1946146.781181252,1896387.662289094
2018-08-03,test0,0,1945742.942366829,1913667.2417783225
2018-08-06,test0,0,1945247.392659147,1927981.3714228014
2018-08-07,test0,0,1945603.7145388466,1931748.0144487072
2018-08-08,test0,0,1945470.748953043,1934639.2552192037
2018-08-09,test0,0,1945490.3286578874,1923152.5071524372
2018-08-10,test0,0,1945393.9459027331,1885754.2308673535
2018-08-13,test0,0,1945270.1140769194,1807434.8823365108
2018-08-14,test0,0,1944289.3262149845,1736915.5995619711
2018-08-15,test0,0,1939152.749078215,1661394.8696660565
2018-08-16,test0,0,1937818.3754699356,1705935.432924832
2018-08-17,test0,0,1933143.7602336432,1791509.0865496355
2018-08-20,test0,0,1933676.976749883,1865618.3004820598
2018-08-21,test0,0,1934758.9477253603,1886366.791006069
2018-08-22,test0,0,1934211.7589482155,1880205.3400445175
2018-08-23,test0,0,1934536.2476220834,1858986.5122813117
2018-08-24,test0,0,1934468.68812593,1740627.193903784
2018-08-27,test0,0,1940553.0649521595,1606380.0308244487
2018-08-28,test0,0,1938839.4863275036,1555750.9961743501
2018-08-29,test0,0,1938247.7651058063,1526336.7241348657
2018-08-30,test0,0,1934276.9516619253,1528306.1789671946
2018-08-31,test0,0,1928776.2456947349,1544469.9225155802
2018-09-03,test0,0,1928837.4266107038,1623547.2539614004
2018-09-04,test0,0,1933221.0399425195,1674556.6038492003
2018-09-05,test0,0,1928136.3501596022,1791900.3964517186
2018-09-06,test0,0,1927248.4072203161,1834484.9547020795
2018-09-07,test0,0,1926891.7700918943,1857907.5553864443
2018-09-10,test0,0,1925323.0194058511,1860028.3356442458
2018-09-11,test0,0,1925994.555392958,1869049.3016898218
2018-09-12,test0,0,1925822.4293371567,1865894.1117401696
2018-09-13,test0,0,1926008.9166990144,1859812.2751934652
2018-09-14,test0,0,1925215.7043329007,1860300.6983121948
2018-09-17,test0,0,1924452.1242121041,1836026.682051825
2018-09-18,test0,0,1925511.6038416568,1785496.067762906
2018-09-19,test0,0,1927500.4648158876,1657825.6845831461
2018-09-20,test0,0,1926887.542132114,1639562.3592664255
2018-09-21,test0,0,1936137.1789413937,1587226.066762505
2018-09-25,test0,0,1933069.4300130135,1531017.0318633467
2018-09-26,test0,0,1939890.72612343,1505403.8433686378
2018-09-27,test0,0,1937428.054420961,1512086.8016783956
2018-09-28,test0,0,1941551.5231945994,1505091.0145943596
2018-10-08,test0,0,1920070.4600306314,1543540.463711742
2018-10-09,test0,0,1919637.8937223558,1619225.3453414093
2018-10-10,test0,0,1914667.28333814,1719924.2242390893
2018-10-11,test0,0,1906592.7067079607,1872319.66702323
2018-10-12,test0,0,1906998.375108847,1884661.474008724
2018-10-15,test0,0,1906561.659026203,1891541.8391901606
2018-10-16,test0,0,1906278.6287113284,1893853.112947865
2018-10-17,test0,0,1906322.800089903,1897918.893115198
2018-10-18,test0,0,1906139.2783668365,1892235.2661860976
2018-10-19,test0,0,1906398.59589135,1885042.4687622709
2018-10-22,test0,0,1906983.6562706423,1815729.4983863938
2018-10-23,test0,0,1904014.8005648847,1760102.530865354
2018-10-24,test0,0,1902975.9832455528,1691137.6554382069
2018-10-25,test0,0,1903646.6358209606,1643526.547917453
2018-10-26,test0,0,1901114.0339705758,1645091.3849373066
2018-10-29,test0,0,1895641.376192292,1677718.0010286677
2018-10-30,test0,0,1898754.3803389051,1724506.8778887733
2018-10-31,test0,0,1900380.1161043718,1750283.054211833
2018-11-01,test0,0,1901555.413325097,1756309.306520566
2018-11-02,test0,0,1905364.0482129967,1730817.458956842
2018-11-05,test0,0,1904724.2955980524,1645564.2625118229
2018-11-06,test0,0,1903677.6127264563,1587415.2361313151
2018-11-07,test0,0,1901925.52820775,1515002.6251855658
2018-11-08,test0,0,1899689.2950260988,1503912.7378625136
2018-11-09,test0,0,1896796.8753505382,1537179.6794410634
2018-11-12,test0,0,1901023.9816471632,1594937.42049596
2018-11-13,test0,0,1905430.3774971082,1718647.0606385197
2018-11-14,test0,0,1904261.7658087178,1746840.489898029
2018-11-15,test0,0,1906421.1582558854,1735275.9981327637
2018-11-16,test0,0,1907859.0203158248,1667949.617230032
2018-11-19,test0,0,1910149.6933195274,1624169.9272771107
2018-11-20,test0,0,1901925.727119282,1631235.834532375
