,,account_id,available,pre_balance,total_balance
2018-01-02,0,test0_12940567,2000000.0,0,2000000.0
2018-01-02,1,test1_41968025,1000.0,0,1000.0
2018-01-03,0,test0_12940567,2000000.0,0,2000000.0
2018-01-03,1,test1_41968025,1000.0,0,1000.0
2018-01-04,0,test0_12940567,2000000.0,0,2000000.0
2018-01-04,1,test1_41968025,1000.0,0,1000.0
2018-01-05,0,test0_12940567,2000000.0,0,2000000.0
2018-01-05,1,test1_41968025,1000.0,0,1000.0
2018-01-08,0,test0_12940567,2000000.0,0,2000000.0
2018-01-08,1,test1_41968025,1000.0,0,1000.0
2018-01-09,0,test0_12940567,2000000.0,0,2000000.0
2018-01-09,1,test1_41968025,1000.0,0,1000.0
2018-01-10,0,test0_12940567,2000000.0,0,2000000.0
2018-01-10,1,test1_41968025,1000.0,0,1000.0
2018-01-11,0,test0_12940567,2000000.0,0,2000000.0
2018-01-11,1,test1_41968025,1000.0,0,1000.0
2018-01-12,0,test0_12940567,2000000.0,0,2000000.0
2018-01-12,1,test1_41968025,1000.0,0,1000.0
2018-01-15,0,test0_12940567,2000000.0,0,2000000.0
2018-01-15,1,test1_41968025,1000.0,0,1000.0
2018-01-16,0,test0_12940567,2000000.0,0,2000000.0
2018-01-16,1,test1_41968025,1000.0,0,1000.0
2018-01-17,0,test0_12940567,2000000.0,0,2000000.0
2018-01-17,1,test1_41968025,1000.0,0,1000.0
2018-01-18,0,test0_12940567,2000000.0,0,2000000.0
2018-01-18,1,test1_41968025,1000.0,0,1000.0
2018-01-19,0,test0_12940567,2000000.0,0,2000000.0
2018-01-19,1,test1_41968025,1000.0,0,1000.0
2018-01-22,0,test0_12940567,2000000.0,0,2000000.0
2018-01-22,1,test1_41968025,1000.0,0,1000.0
2018-01-23,0,test0_12940567,2000000.0,0,2000000.0
2018-01-23,1,test1_41968025,1000.0,0,1000.0
2018-01-24,0,test0_12940567,2000000.0,0,2000000.0
2018-01-24,1,test1_41968025,1000.0,0,1000.0
