,,account_id,average_price,direction,exchange,frozen,instrument,position,position_profit,yesterday_position
2018-01-29,0,test0_12940567,9.172751,,SZ,100,000686,100,-1.2750999999999735,0
2018-01-29,1,test0_12940567,7.462238,,SH,100,600018,100,-1.2237999999999971,0
2018-01-29,2,test0_12940567,9.402819999999998,,SH,100,600031,100,-1.2819999999997833,0
2018-01-29,3,test0_12940567,9.952984999999998,,SH,100,600015,100,-1.2984999999998692,0
2018-01-29,4,test0_12940567,7.252174999999999,,SH,100,601919,100,-1.2174999999999159,0
2018-01-29,5,test0_12940567,24.017203,,SZ,100,002174,100,-1.7202999999998525,0
2018-01-29,6,test0_12940567,17.495247000000003,,SH,100,600637,100,-1.524700000000223,0
2018-01-29,7,test0_12940567,33.49004399999999,,SH,100,600887,100,-2.0043999999991513,0
2018-01-29,8,test0_12940567,7.292187,,SH,100,601998,100,-1.2186999999999948,0
2018-01-29,9,test0_12940567,22.676801,,SH,100,600588,100,-1.6801000000000954,0
2018-01-29,10,test0_12940567,19.855955,,SZ,100,300024,100,-1.5955000000001718,0
2018-01-29,11,test0_12940567,11.863558000000001,,SH,100,600390,100,-1.3558000000001513,0
2018-01-29,12,test0_12940567,10.023005999999999,,SH,100,600019,100,-1.3005999999998963,0
2018-01-29,13,test0_12940567,6.051815,,SZ,100,000725,100,-1.1815000000000353,0
2018-01-29,14,test0_12940567,48.734615999999995,,SH,100,601888,100,-2.461599999999464,0
2018-01-29,15,test0_12940567,33.93017599999999,,SH,100,600085,100,-2.01759999999922,0
2018-01-29,16,test0_12940567,10.043012,,SH,100,600100,100,-1.3011999999999802,0
2018-01-29,17,test0_12940567,12.063617999999998,,SH,100,601881,100,-1.3617999999997465,0
2018-01-29,18,test0_12940567,19.895967,,SH,100,600999,100,-1.5966999999999842,0
2018-01-29,19,test0_12940567,82.114627,,SZ,100,000858,100,-3.4627000000000407,0
2018-01-29,20,test0_12940567,5.611682999999999,,SZ,100,000166,100,-1.1682999999999666,0
2018-01-29,21,test0_12940567,43.563064999999995,,SH,100,601155,100,-2.306499999999545,0
2018-01-29,22,test0_12940567,2.5507649999999997,,SH,100,600010,100,-1.0764999999999691,0
